day,diff,condition,roi_count,responding_rois,mean_auc,median_auc,percentage_responding
D14,Diff1,ATP,343,10,-0.3851835236485191,-0.47349262827721916,2.9154518950437316
D14,Diff1,DMPP,316,3,-1.3310243001047373,-1.2304946842640614,0.9493670886075949
D14,Diff1,HK,359,206,6.8454919687502995,3.8242256860339636,57.381615598885794
D14,Diff1,SA,412,3,-1.4064585660859135,-1.3137165740374859,0.7281553398058253
D14,Diff2,ATP,88,4,-1.5386006151046006,-1.0280628447148863,4.545454545454546
D14,Diff2,DMPP,79,1,-1.5565224904014654,-1.5320991678362947,1.2658227848101267
D14,Diff2,HK,105,17,0.15017437274856033,-0.2319672536905238,16.19047619047619
D14,Diff2,SA,48,0,-0.42198368797514935,-0.5280848190118896,0.0
D14,Diff3,ATP,364,3,-0.8157946917208072,-0.7864579542568182,0.8241758241758241
D14,Diff3,DMPP,446,3,-1.1806502607785583,-1.215450458904336,0.672645739910314
D14,Diff3,HK,330,10,-2.0777181170173065,-2.816082718117504,3.0303030303030303
D14,Diff3,SA,416,4,-0.882775738831467,-0.6933839262214724,0.9615384615384616
D21,Diff1,ATP,286,27,0.5785457635686532,-1.394202134993244,9.44055944055944
D21,Diff1,DMPP,299,5,-1.75967284637279,-1.5601744608259396,1.6722408026755853
D21,Diff1,HK,306,24,-1.0622008579962874,-0.6418255576179724,7.8431372549019605
D21,Diff1,SA,247,0,-0.3801825612037629,-0.14276723044139142,0.0
D21,Diff2,ATP,319,0,-1.1558694089794392,-1.1735942372103427,0.0
D21,Diff2,DMPP,305,0,-2.1773783215031095,-1.9904168205693276,0.0
D21,Diff2,HK,314,0,-1.2566082859074825,-1.4161587623216458,0.0
D21,Diff2,SA,196,1,-1.2318667117518147,-1.3230309616521936,0.5102040816326531
D21,Diff3,ATP,394,3,-0.5593522282633012,-0.5877798014683512,0.7614213197969543
D21,Diff3,DMPP,370,3,-0.22485947084056165,-0.2821712983317526,0.8108108108108109
D21,Diff3,HK,343,5,0.004616943950856727,0.05639077289861456,1.4577259475218658
D21,Diff3,SA,253,0,-0.7241807874639403,-0.6034561470471503,0.0
D28,Diff1,ATP,138,3,-0.9962387469398021,-1.4676776716038034,2.1739130434782608
D28,Diff1,DMPP,114,1,-1.719081539997449,-1.8078118168015582,0.8771929824561403
D28,Diff1,HK,139,58,4.56849898599342,2.3911829268047216,41.726618705035975
D28,Diff1,SA,89,0,-1.5979842913479334,-1.4794418446225035,0.0
D28,Diff2,ATP,178,1,-1.1789005564762822,-1.1396873452272835,0.5617977528089888
D28,Diff2,DMPP,171,0,-3.1847838548709007,-2.9896370796064953,0.0
D28,Diff2,HK,172,51,5.537241545045753,1.5982842903321264,29.651162790697676
D28,Diff2,SA,144,2,-1.5724719457950218,-1.596122976869808,1.3888888888888888
D28,Diff3,ATP,40,0,-1.2711730267286252,-1.3900914397708584,0.0
D28,Diff3,DMPP,40,0,-1.5303010170621858,-1.5355390887606504,0.0
D28,Diff3,HK,49,1,-0.3576017206455864,-0.7415826809244379,2.0408163265306123
D28,Diff3,SA,280,1,-0.8358975404581814,-0.8807125354647487,0.35714285714285715
