day,diff,roi_count,active_rois,mean_frequency,median_frequency,mean_amplitude,median_amplitude
D14,Diff1,412,8,0.009518370454978107,0.0,0.006534784156038279,0.0
D14,Diff2,48,0,0.0,0.0,0.0,0.0
D14,Diff3,416,5,0.00942684766214178,0.0,0.004989789438615621,0.0
D21,Diff1,247,0,0.0,0.0,0.0,0.0
D21,Diff2,196,2,0.007503001200480191,0.0,0.006564121272455405,0.0
D21,Diff3,253,7,0.015500271254746957,0.0,0.010540171853066478,0.0
D28,Diff1,89,1,0.005507821105970478,0.0,0.03968850583183982,0.0
D28,Diff2,144,2,0.02042483660130719,0.0,0.003325267734220398,0.0
D28,Diff3,280,5,0.029761904761904757,0.0,0.008451355039462552,0.0
