day,condition,images,mean_percent_responding,median_percent_responding,standard_deviation
D14,ATP,9,3.408397409076822,2.5906735751295336,4.920609543283447
D14,DMPP,9,1.2386720668024538,0.8849557522123894,1.7591687464555972
D14,HK,9,28.634560021345212,18.181818181818183,29.0093502182859
D21,ATP,10,5.0466498887551525,0.33783783783783783,13.678550428144794
D21,DMPP,10,0.9323558162267839,0.0,1.2793794777870164
D21,HK,10,4.300322576746509,1.18125,6.317679561512403
D28,ATP,9,1.0878823073945023,0.0,2.8351632782891736
D28,DMPP,9,0.3968253968253969,0.0,1.1904761904761907
D28,HK,9,21.953585243907824,7.6923076923076925,24.435657122939613
