day,condition,images,mean_roi_count,median_roi_count,min_roi_count,max_roi_count
D14,ATP,9,88.33333333333333,86.0,19,193
D14,DMPP,9,93.44444444444444,81.0,19,195
D14,HK,9,88.22222222222223,71.0,22,207
D14,SA,9,97.33333333333333,62.0,10,247
D21,ATP,10,99.9,99.5,30,152
D21,DMPP,10,97.4,98.0,45,149
D21,HK,10,96.3,100.0,49,131
D21,SA,9,77.33333333333333,80.0,29,128
D28,ATP,9,39.55555555555556,36.0,3,82
D28,DMPP,9,36.111111111111114,37.0,2,75
D28,HK,9,40.0,44.0,6,70
D28,SA,9,57.0,40.0,13,154
